ObjectName,R,G,B
StaticMeshActor_UAID_E08F4CF5208AA17502_2102634488,255,255,255
StaticMeshActor_UAID_E08F4CF5208A9D7502_1362847747,255,255,127
StaticMeshActor_UAID_E08F4CF5208A9C7502_1338685517,255,127,255
StaticMeshActor_UAID_E08F4CF5208AA07502_1083985350,255,127,127
StaticMeshActor_UAID_E08F4CF5208AA17502_1811438432,127,255,255
StaticMeshActor_UAID_E08F4CF5208AA17502_2102553461,127,255,127
StaticMeshActor_UAID_E08F4CF5208ABE7502_1435520497,127,127,255
StaticMeshActor_UAID_E08F4CF5208AA17502_1811469443,127,127,127
StaticMeshActor_UAID_E08F4CF5208AA07502_1084004357,255,255,191
StaticMeshActor_UAID_E08F4CF5208AA07502_1083887317,255,127,191
StaticMeshActor_UAID_E08F4CF5208AA17502_2102696509,127,255,191
StaticMeshActor_UAID_E08F4CF5208ABE7502_1435509493,127,127,191
StaticMeshActor_UAID_E08F4CF5208ABE7502_1435498489,255,191,255
StaticMeshActor_UAID_E08F4CF5208A9D7502_1405820752,255,191,127
StaticMeshActor_UAID_E08F4CF5208A9D7502_1245774739,127,191,255
BP_SplineHuman_Type14_C_UAID_E08F4CF5208A407A02_1421465596,127,191,127
StaticMeshActor_UAID_E08F4CF5208A9D7502_1204282736,255,191,191
StaticMeshActor_UAID_E08F4CF5208AA07502_1083952338,127,191,191
StaticMeshActor_UAID_E08F4CF5208A9C7502_1921825538,191,255,255
BP_SplineHuman_Type11_C_UAID_E08F4CF5208A487A02_1157467017,191,255,127
StaticMeshActor_UAID_E08F4CF5208AC07502_2046831868,191,127,255
StaticMeshActor_UAID_E08F4CF5208A0E7402_1499248461,191,127,127
StaticMeshActor_UAID_D843AED10BEFF47302_1872437889,191,255,191
StaticMeshActor_UAID_E08F4CF5208AA17502_1811486449,191,127,191
StaticMeshActor_UAID_E08F4CF5208A0E7402_1727395465,191,191,255
StaticMeshActor_UAID_E08F4CF5208AA07502_1083908322,191,191,127
StaticMeshActor_UAID_E08F4CF5208AC07502_2034610867,191,191,191
StaticMeshActor_UAID_E08F4CF5208AA17502_2102675502,255,255,95
StaticMeshActor_UAID_E08F4CF5208A317402_1875066619,255,127,95
StaticMeshActor_UAID_E08F4CF5208AC07502_1367258847,255,191,95
StaticMeshActor_UAID_E08F4CF5208A9C7502_1853956535,127,255,95
StaticMeshActor_UAID_E08F4CF5208A377402_1371366678,127,127,95
StaticMeshActor_UAID_E08F4CF5208A9C7502_2048981547,127,191,95
StaticMeshActor_UAID_E08F4CF5208A9C7502_1611350530,191,255,95
StaticMeshActor_UAID_E08F4CF5208AA17502_1811511458,191,127,95
StaticMeshActor_UAID_E08F4CF5208AA07502_1084024364,191,191,95
StaticMeshActor_UAID_E08F4CF5208AA17502_2102581470,255,95,255
StaticMeshActor_UAID_E08F4CF5208A9C7502_1954706542,255,95,127
StaticMeshActor_UAID_E08F4CF5208A9D7502_1533822758,255,95,191
StaticMeshActor_UAID_E08F4CF5208A9D7502_1555880762,127,95,255
StaticMeshActor_UAID_E08F4CF5208A9C7502_1391042522,127,95,127
StaticMeshActor_UAID_E08F4CF5208AC07502_1314586845,127,95,191
StaticMeshActor_UAID_E08F4CF5208AC07502_1951823865,191,95,255
StaticMeshActor_UAID_E08F4CF5208A9C7502_1340650521,191,95,127
StaticMeshActor_UAID_E08F4CF5208AA17502_1811424427,191,95,191
StaticMeshActor_UAID_E08F4CF5208AA07502_1083958340,255,95,95
StaticMeshActor_UAID_E08F4CF5208ABE7502_1435507492,127,95,95
StaticMeshActor_UAID_E08F4CF5208A0E7402_1412105460,191,95,95
StaticMeshActor_UAID_E08F4CF5208AA17502_1811397417,95,255,255
StaticMeshActor_UAID_E08F4CF5208A377402_1106938676,95,255,127
StaticMeshActor_UAID_E08F4CF5208AC17502_1230764046,95,255,191
StaticMeshActor_UAID_E08F4CF5208AA17502_2102661497,95,127,255
StaticMeshActor_UAID_E08F4CF5208AC07502_1729417856,95,127,127
StaticMeshActor_UAID_E08F4CF5208AA17502_1811494452,95,127,191
BP_SplineHuman_Type5_C_UAID_E08F4CF5208A477A02_1587259839,95,191,255
StaticMeshActor_UAID_D0C1B5477A2CCC7B02_1728727288,95,191,127
StaticMeshActor_UAID_E08F4CF5208A9C7502_2130269551,95,191,191
StaticMeshActor_UAID_E08F4CF5208A9D7502_1537966759,95,255,95
StaticMeshActor_UAID_E08F4CF5208A727602_1589906174,95,127,95
BP_SplineHuman_Type3_C_UAID_E08F4CF5208A3F7A02_1918728418,95,191,95
StaticMeshActor_UAID_E08F4CF5208AA17502_1811400418,95,95,255
StaticMeshActor_UAID_E08F4CF5208A9C7502_1410710526,95,95,127
StaticMeshActor_UAID_E08F4CF5208A507402_1269021076,95,95,191
StaticMeshActor_UAID_E08F4CF5208AA17502_2102567465,95,95,95
StaticMeshActor_UAID_E08F4CF5208A9D7502_1345660746,255,255,159
BP_SplineHuman_Girl2_C_UAID_E08F4CF5208A457A02_1135924483,255,127,159
StaticMeshActor_UAID_E08F4CF5208A9C7502_1997298546,255,191,159
StaticMeshActor_UAID_E08F4CF5208AA17502_1811391415,255,95,159
StaticMeshActor_UAID_E08F4CF5208AC17502_1209569045,127,255,159
StaticMeshActor_UAID_D843AED10BEFF47302_1919689891,127,127,159
StaticMeshActor_UAID_E08F4CF5208AC07502_1383443851,127,191,159
StaticMeshActor_UAID_E08F4CF5208AA17502_1811380411,127,95,159
StaticMeshActor_UAID_E08F4CF5208AC07502_1367249846,191,255,159
StaticMeshActor_UAID_E08F4CF5208A9D7502_1552500761,191,127,159
StaticMeshActor_UAID_E08F4CF5208AA17502_2102637489,191,191,159
StaticMeshActor_UAID_E08F4CF5208AA17502_2102557462,191,95,159
StaticMeshActor_UAID_E08F4CF5208A9C7502_1339533518,95,255,159
StaticMeshActor_UAID_E08F4CF5208AA17502_2102652494,95,127,159
StaticMeshActor_UAID_E08F4CF5208AA17502_1811405420,95,191,159
StaticMeshActor_UAID_E08F4CF5208AA17502_1811403419,95,95,159
StaticMeshActor_UAID_E08F4CF5208AA17502_1811497453,255,159,255
StaticMeshActor_UAID_E08F4CF5208AC07502_1383446853,255,159,127
BP_SplineHuman_Type13_C_UAID_E08F4CF5208A497A02_1081776195,255,159,191
StaticMeshActor_UAID_E08F4CF5208AA17502_2102669500,255,159,95
StaticMeshActor_UAID_E08F4CF5208AA07502_1083960341,127,159,255
StaticMeshActor_UAID_E08F4CF5208AA17502_1811394416,127,159,127
StaticMeshActor_UAID_E08F4CF5208A9D7502_1342081745,127,159,191
StaticMeshActor_UAID_E08F4CF5208A9C7502_1339940519,127,159,95
StaticMeshActor_UAID_E08F4CF5208AA07502_1083988351,191,159,255
StaticMeshActor_UAID_E08F4CF5208AA07502_1083917325,191,159,127
StaticMeshActor_UAID_E08F4CF5208A9D7502_1373122748,191,159,191
StaticMeshActor_UAID_E08F4CF5208A9D7502_1424738753,191,159,95
StaticMeshActor_UAID_E08F4CF5208AC07502_1876857860,95,159,255
BP_SplineHuman_Type7_C_UAID_E08F4CF5208A417A02_1772760774,95,159,127
StaticMeshActor_UAID_E08F4CF5208A9D7502_1281695741,95,159,191
StaticMeshActor_UAID_E08F4CF5208AA17502_2102602477,95,159,95
StaticMeshActor_UAID_E08F4CF5208AA17502_2102629486,255,159,159
StaticMeshActor_UAID_E08F4CF5208AA17502_1811452437,127,159,159
StaticMeshActor_UAID_E08F4CF5208AA07502_1083905321,191,159,159
StaticMeshActor_UAID_E08F4CF5208AC07502_1383439849,95,159,159
StaticMeshActor_UAID_E08F4CF5208AC07502_1383448854,159,255,255
StaticMeshActor_UAID_E08F4CF5208A9D7502_1098963729,159,255,127
StaticMeshActor_UAID_E08F4CF5208AA17502_1811408421,159,255,191
BP_SplineHuman_Mannequin1_C_UAID_E08F4CF5208A457A02_1512040484,159,255,95
StaticMeshActor_UAID_E08F4CF5208AA17502_1811483448,159,127,255
StaticMeshActor_UAID_E08F4CF5208AA17502_1811513459,159,127,127
StaticMeshActor_UAID_E08F4CF5208AA17502_1811508457,159,127,191
StaticMeshActor_UAID_E08F4CF5208AA17502_1811455438,159,127,95
StaticMeshActor_UAID_E08F4CF5208AC07502_1383442850,159,191,255
StaticMeshActor_UAID_E08F4CF5208AA17502_1811461440,159,191,127
StaticMeshActor_UAID_E08F4CF5208A0E7402_1587105462,159,191,191
StaticMeshActor_UAID_E08F4CF5208AA07502_1084013360,159,191,95
StaticMeshActor_UAID_E08F4CF5208AA07502_1083911323,159,95,255
StaticMeshActor_UAID_E08F4CF5208ABE7502_1435518496,159,95,127
StaticMeshActor_UAID_E08F4CF5208A727602_1562647173,159,95,191
StaticMeshActor_UAID_E08F4CF5208AA17502_1811463441,159,95,95
StaticMeshActor_UAID_E08F4CF5208AA07502_1084015361,159,255,159
StaticMeshActor_UAID_E08F4CF5208AA17502_2102690507,159,127,159
StaticMeshActor_UAID_E08F4CF5208AA07502_1790130207,159,191,159
StaticMeshActor_UAID_E08F4CF5208AA17502_1811386413,159,95,159
StaticMeshActor_UAID_E08F4CF5208AA07502_1083974346,159,159,255
StaticMeshActor_UAID_E08F4CF5208AA07502_1083993353,159,159,127
StaticMeshActor_UAID_E08F4CF5208AA17502_2102658496,159,159,191
StaticMeshActor_UAID_D843AED10BEFF37302_2061422706,159,159,95
StaticMeshActor_UAID_E08F4CF5208AA17502_2102596475,159,159,159
StaticMeshActor_UAID_E08F4CF5208AA07502_1083920326,255,255,223
StaticMeshActor_UAID_E08F4CF5208AA07502_2021520208,255,127,223
StaticMeshActor_UAID_E08F4CF5208A397402_2004829033,255,191,223
StaticMeshActor_UAID_E08F4CF5208AA07502_1083923327,255,95,223
StaticMeshActor_UAID_E08F4CF5208AA17502_2102605478,255,159,223
StaticMeshActor_UAID_E08F4CF5208AA17502_1811491451,127,255,223
StaticMeshActor_UAID_A4AE111137DC5EFB00_1594956423,127,127,223
StaticMeshActor_UAID_E08F4CF5208AA17502_2102584471,127,191,223
StaticMeshActor_UAID_E08F4CF5208AA17502_1811383412,127,95,223
StaticMeshActor_UAID_E08F4CF5208AA07502_1083955339,127,159,223
BP_SplineHuman_Type10_C_UAID_E08F4CF5208A437A02_1596611129,191,255,223
StaticMeshActor_UAID_E08F4CF5208A9C7502_1941763539,191,127,223
StaticMeshActor_UAID_E08F4CF5208A377402_1530199680,191,191,223
StaticMeshActor_UAID_E08F4CF5208AA17502_1811474445,191,95,223
StaticMeshActor_UAID_E08F4CF5208AA17502_1811488450,191,159,223
StaticMeshActor_UAID_E08F4CF5208A0E7402_1848368466,95,255,223
StaticMeshActor_UAID_E08F4CF5208AA17502_1811480447,95,127,223
StaticMeshActor_UAID_E08F4CF5208A0E7402_1614099463,95,191,223
BP_SplineHuman_Type2_C_UAID_E08F4CF5208A417A02_1509275773,95,95,223
StaticMeshActor_UAID_E08F4CF5208ABE7502_1435504491,95,159,223
StaticMeshActor_UAID_E08F4CF5208ABE7502_1435495488,159,255,223
StaticMeshActor_UAID_E08F4CF5208AA17502_2102678503,159,127,223
StaticMeshActor_UAID_E08F4CF5208AA17502_1811499454,159,191,223
StaticMeshActor_UAID_E08F4CF5208AA17502_2102681504,159,95,223
StaticMeshActor_UAID_E08F4CF5208A9C7502_1771453533,159,159,223
BP_SplineHuman_Type6_C_UAID_E08F4CF5208A407A02_1088594595,255,223,255
StaticMeshActor_UAID_E08F4CF5208AA07502_1083882316,255,223,127
StaticMeshActor_UAID_E08F4CF5208AA07502_1084007358,255,223,191
StaticMeshActor_UAID_E08F4CF5208AA17502_1811422426,255,223,95
StaticMeshActor_UAID_E08F4CF5208AA07502_1083966343,255,223,159
StaticMeshActor_UAID_E08F4CF5208AA07502_1083977347,127,223,255
StaticMeshActor_UAID_E08F4CF5208A377402_1448174679,127,223,127
StaticMeshActor_UAID_E08F4CF5208AA17502_2102611480,127,223,191
StaticMeshActor_UAID_E08F4CF5208AA17502_1811411422,127,223,95
StaticMeshActor_UAID_E08F4CF5208AA17502_1811369408,127,223,159
StaticMeshActor_UAID_E08F4CF5208AA17502_1811416424,191,223,255
StaticMeshActor_UAID_E08F4CF5208AA07502_1083928329,191,223,127
StaticMeshActor_UAID_E08F4CF5208A9D7502_1182708733,191,223,191
StaticMeshActor_UAID_E08F4CF5208AA17502_1811430429,191,223,95
StaticMeshActor_UAID_E08F4CF5208AA17502_1811447435,191,223,159
StaticMeshActor_UAID_D843AED10BEFF47302_1993644892,95,223,255
StaticMeshActor_UAID_E08F4CF5208AA07502_1083982349,95,223,127
StaticMeshActor_UAID_E08F4CF5208AA17502_2102699510,95,223,191
StaticMeshActor_UAID_E08F4CF5208ABE7502_1435523498,95,223,95
StaticMeshActor_UAID_E08F4CF5208AA17502_1811389414,95,223,159
StaticMeshActor_UAID_E08F4CF5208AA07502_1083925328,159,223,255
BP_SplineHuman_Mannequin2_C_UAID_E08F4CF5208A457A02_1886793485,159,223,127
BP_SplineHuman_Type4_C_UAID_E08F4CF5208A467A02_1775944662,159,223,191
StaticMeshActor_UAID_E08F4CF5208A9C7502_1578761529,159,223,95
StaticMeshActor_UAID_E08F4CF5208A9C7502_1340294520,159,223,159
StaticMeshActor_UAID_E08F4CF5208AA17502_2102593474,255,223,223
BP_SplineHuman_Type9_C_UAID_E08F4CF5208A477A02_1940754840,127,223,223
StaticMeshActor_UAID_E08F4CF5208AA17502_1811466442,191,223,223
StaticMeshActor_UAID_E08F4CF5208AA07502_1084021363,95,223,223
StaticMeshActor_UAID_E08F4CF5208AA07502_2022041209,159,223,223
StaticMeshActor_UAID_E08F4CF5208A9D7502_1463839755,223,255,255
StaticMeshActor_UAID_E08F4CF5208A3F7A02_1579444416,223,255,127
StaticMeshActor_UAID_E08F4CF5208AC07502_1367262848,223,255,191
StaticMeshActor_UAID_E08F4CF5208AC17502_1277797047,223,255,95
StaticMeshActor_UAID_E08F4CF5208AA07502_1083979348,223,255,159
StaticMeshActor_UAID_E08F4CF5208AA07502_1083999355,223,127,255
StaticMeshActor_UAID_E08F4CF5208A9C7502_1989517543,223,127,127
StaticMeshActor_UAID_E08F4CF5208AC07502_2029522866,223,127,191
StaticMeshActor_UAID_E08F4CF5208AA17502_2102608479,223,127,95
StaticMeshActor_UAID_E08F4CF5208A9D7502_1484966756,223,127,159
StaticMeshActor_UAID_E08F4CF5208A9C7502_1682541532,223,191,255
BP_SplineHuman_Type8_C_UAID_E08F4CF5208A437A02_1199966128,223,191,127
StaticMeshActor_UAID_E08F4CF5208AA17502_2102640490,223,191,191
StaticMeshActor_UAID_E08F4CF5208A9C7502_1894692537,223,191,95
StaticMeshActor_UAID_E08F4CF5208A0E7402_1702715464,223,191,159
StaticMeshActor_UAID_E08F4CF5208AC07502_1288403841,223,95,255
