actor_label,get_name
WorldDataLayers-1,WorldDataLayers
DirectionalLight,DirectionalLight_1
Sportscar_2_VEHTAG2,StaticMeshActor_UAID_E08F4CF5208AA17502_2102634488
LandscapeStreamingProxy_13_0_0,LandscapeStreamingProxy_9WRX77ZHBNN64U7IVGH2O6PBO_126_13_0_0
LandscapeStreamingProxy_4_5_0,LandscapeStreamingProxy_9WRX77ZHBNN64U7IVGH2O6PBO_126_4_5_0
BP_VehicleAI_SUV2_6,BP_VehicleAI_SUV2_C_UAID_E08F4CF5208A8E7A02_1425269325
LandscapeStreamingProxy_2_2_0,LandscapeStreamingProxy_9WRX77ZHBNN64U7IVGH2O6PBO_126_2_2_0
Crosswalk29,StaticMeshActor_UAID_E08F4CF5208A9D7502_1362847747
SM_White_Line_00_inst_3,StaticMeshActor_UAID_E08F4CF5208A9C7502_1338685517
Sportscar_1,StaticMeshActor_UAID_E08F4CF5208AA07502_1083985350
LandscapeStreamingProxy_3_2_0,LandscapeStreamingProxy_9WRX77ZHBNN64U7IVGH2O6PBO_126_3_2_0
Garbagetruck_6_VEHTAG1,StaticMeshActor_UAID_E08F4CF5208AA17502_1811438432
LandscapeStreamingProxy_10_3_0,LandscapeStreamingProxy_9WRX77ZHBNN64U7IVGH2O6PBO_126_10_3_0
LandscapeStreamingProxy_14_8_0,LandscapeStreamingProxy_9WRX77ZHBNN64U7IVGH2O6PBO_126_14_8_0
LandscapeStreamingProxy_3_0_0,LandscapeStreamingProxy_9WRX77ZHBNN64U7IVGH2O6PBO_126_3_0_0
LandscapeStreamingProxy_11_13_0,LandscapeStreamingProxy_9WRX77ZHBNN64U7IVGH2O6PBO_126_11_13_0
Pickuptruck_1_VEHTAG2,StaticMeshActor_UAID_E08F4CF5208AA17502_2102553461
BP_VehicleAI_pickup_6_1,BP_VehicleAI_pickup_C_UAID_E08F4CF5208A907A02_1587226677
SUV2_1_VEHTAG3,StaticMeshActor_UAID_E08F4CF5208ABE7502_1435520497
